"Medicine Name","Price","Is Prescription Required?","Quantity","Manufacturer","Image URL"
"Nasivion Classic Adult 0.05% Nasal Spray | Fast Relief from Blocked Nose","₹112","","1","Emergency","https://onemg.gumlet.io/a_ignore,w_380,h_380,c_fit,q_auto,f_auto/twii283fcqwd0xs7lzer.png"
"Povinanz Throat Spray","₹126","","1","Antiseptic/Wound","https://onemg.gumlet.io/a_ignore,w_380,h_380,c_fit,q_auto,f_auto/pggsjdhxe8pobkg0og33.jpg"
"Oroclear Mouth Spray Mint","₹139","","1","Antiseptic/Wound","https://onemg.gumlet.io/a_ignore,w_380,h_380,c_fit,q_auto,f_auto/ks5jtmrbqc18o7ylnr1i.jpg"
"Wetadine 1 Mouth Spray Mint","₹140","","1","Antiseptic/Wound","https://onemg.gumlet.io/a_ignore,w_380,h_380,c_fit,q_auto,f_auto/ezs7a44p4g445c6ukcrr.jpg"
"Drez Spray","₹159","","1","Antiseptic/Wound","https://onemg.gumlet.io/a_ignore,w_380,h_380,c_fit,q_auto,f_auto/qvyr0yyhlwrglbgvcrib.jpg"
"Betadine 10% Vaginal Douche","₹169","","1","Antiseptic/Wound","https://onemg.gumlet.io/a_ignore,w_380,h_380,c_fit,q_auto,f_auto/hx2gxivwmeoxxxsc1hix.png"
"Vinodine Antiseptic Germicidal Spray","₹187","","1","Antiseptic/Wound","https://onemg.gumlet.io/a_ignore,w_380,h_380,c_fit,q_auto,f_auto/dmfbxtdsfu3khxfb4ami.png"
"Virospray Mouth Spray","₹189","","1","Antiseptic/Wound","https://onemg.gumlet.io/a_ignore,w_380,h_380,c_fit,q_auto,f_auto/lag47vulopktmmxjaao0.jpg"
"Otrivin Saline","₹88","","1","Emergency","https://onemg.gumlet.io/a_ignore,w_380,h_380,c_fit,q_auto,f_auto/58dbd6fa58f245f2825f4b95ac9c3105.jpg"
"Povi 10 Spray","₹89","","1","Antiseptic/Wound","https://onemg.gumlet.io/a_ignore,w_380,h_380,c_fit,q_auto,f_auto/hx2gxivwmeoxxxsc1hix.png"
"Sinozap-O Nasal Spray","₹103","1","1","Emergency","https://onemg.gumlet.io/a_ignore,w_380,h_380,c_fit,q_auto,f_auto/7b14d86dec5c4b44930cbe5768718bc1.jpg"
